ODPair_CO_TAZID,CO_TAZID_O,CO_TAZID_D,External
-808949_1018,-808949,1018,3
-808950_350742,-808950,350742,27
-808950_350933,-808950,350933,27
-808951_15076,-808951,15076,12
-808952_19008,-808952,19008,12
-808952_19011,-808952,19011,12
-808952_19011,-808952,19011,12
-808952_19020,-808952,19020,12
-808952_19035,-808952,19035,12
-808952_19035,-808952,19035,12
-808952_19067,-808952,19067,12
-808952_19078,-808952,19078,12
-808952_31017,-808952,31017,12
-808952_31017,-808952,31017,12
-808952_351287,-808952,351287,12
-808952_47031,-808952,47031,13
-808952_47037,-808952,47037,13
-808952_530142,-808952,530142,12
-808953_350765,-808953,350765,24
-808953_492178,-808953,492178,24
-808954_110630,-808954,110630,21
-808954_351457,-808954,351457,21
-808954_50244,-808954,50244,21
-808954_50300,-808954,50300,21
-808954_50317,-808954,50317,21
-808954_50330,-808954,50330,21
-808954_50330,-808954,50330,21
-808954_50403,-808954,50403,21
-808955_110560,-808955,110560,24
-808955_30035,-808955,30035,24
-808955_3033,-808955,3033,24
-808955_350668,-808955,350668,24
-808955_350929,-808955,350929,24
-808955_351701,-808955,351701,24
-808955_50264,-808955,50264,24
-808955_50443,-808955,50443,24
-808956_110583,-808956,110583,22
-808956_30088,-808956,30088,22
-808956_30090,-808956,30090,22
-808956_30090,-808956,30090,22
-808956_43146,-808956,43146,22
-808956_492062,-808956,492062,22
-808956_50040,-808956,50040,22
-808956_50040,-808956,50040,22
-808956_50099,-808956,50099,22
-808956_50099,-808956,50099,22
-808956_50106,-808956,50106,22
-808956_50110,-808956,50110,22
-808956_50110,-808956,50110,22
-808956_50155,-808956,50155,22
-808956_50155,-808956,50155,22
-808956_50253,-808956,50253,22
-808956_50284,-808956,50284,22
-808956_50284,-808956,50284,22
-808956_50297,-808956,50297,22
-808956_50299,-808956,50299,22
-808956_50299,-808956,50299,22
-808956_50318,-808956,50318,22
-808956_50330,-808956,50330,22
-808956_50339,-808956,50339,22
-808956_50339,-808956,50339,22
-808956_50383,-808956,50383,22
-808956_50400,-808956,50400,22
-808956_50434,-808956,50434,22
-808956_50434,-808956,50434,22
-808956_50577,-808956,50577,22
-808956_50738,-808956,50738,22
-808956_50739,-808956,50739,22
-808956_570177,-808956,570177,22
-808956_570192,-808956,570192,22
-808956_570288,-808956,570288,22
-808956_570396,-808956,570396,22
-808957_3015,-808957,3015,23
-808957_3015,-808957,3015,23
-808957_3089,-808957,3089,23
