;PrevNode,New_Node,Type
     11669,     80850,Highway
     11670,     80851,Highway
     11671,     80852,Highway
     11672,     80853,Highway
     11673,     80854,Highway
     11674,     80855,Highway
     11675,     80856,Highway
     11676,     80857,Highway
     11677,     80858,Highway
     11678,     80859,Highway
     11679,     80860,Highway
     11680,     80861,Highway
     11681,     80862,Highway
     11682,     80863,Highway
     11683,     80864,Highway
     11684,     80865,Highway
     11685,     80866,Highway
     11686,     80867,Highway
     11687,     80868,Highway
     11688,     80869,Highway
     11689,     80870,Highway
     11690,     80871,Highway
     11691,     80872,Highway
     11692,     80873,Highway
     11693,     80874,Highway
     11694,     80875,Highway
     11695,     80876,Highway
     11696,     80877,Highway
     11697,     80878,Highway
     11698,     80879,Highway
     11699,     80880,Highway
     11700,     80881,Highway
     11701,     80882,Highway
     11702,     80883,Highway
     11703,     80884,Highway
     11704,     80885,Highway
     11705,     80886,Highway
     11706,     80887,Highway
     11707,     80888,Highway
     11708,     80889,Highway
     11709,     80890,Highway
     11710,     80891,Highway
     11711,     80892,Highway
     11712,     80893,Highway
     11713,     80894,Highway
     11714,     80895,Highway
     11715,     80896,Highway
     11716,     80897,Highway
     11717,     80898,Highway
     11718,     80899,Highway
     11719,     80900,Highway
     11720,     80901,Highway
     11721,     80902,Highway
     11722,     80903,Highway
     11723,     80904,Highway
     11724,     80905,Highway
     11725,     80906,Highway
     11726,     80907,Highway
     11727,     80908,Highway
     11728,     80909,Highway
     11729,     80910,Highway
     11730,     80911,Highway
     11731,     80912,Highway
     11732,     80913,Highway
     11733,     80914,Highway
     11734,     80915,Highway
     11735,     80916,Highway
     11736,     80917,Highway
     11737,     80918,Highway
     11738,     80919,Highway
     11739,     80920,Highway
     11740,     80921,Highway
     11741,     80922,Highway
     11742,     80923,Highway
     11743,     80924,Highway
     11744,     80925,Highway
     11745,     80926,Highway
     11746,     80927,Highway
     11747,     80928,Highway
     11748,     80929,Highway
     11749,     80930,Highway
     11750,     80931,Highway
     11751,     80932,Highway
     11752,     80933,Highway
     11753,     80934,Highway
     11754,     80935,Highway
     11755,     80936,Highway
     11756,     80937,Highway
     11757,     80938,Highway
     11758,     80939,Highway
     11759,     80940,Highway
     11760,     80941,Highway
     11761,     80942,Highway
     11762,     80943,Highway
     11763,     80944,Highway
     11764,     80945,Highway
     11765,     80946,Highway
     11766,     80947,Highway
     11767,     80948,Highway
     11768,     80949,Highway
     11769,     80950,Highway
     11770,     80951,Highway
     11771,     80952,Highway
     11772,     80953,Highway
     11773,     80954,Highway
     11774,     80955,Highway
     11775,     80956,Highway
     11776,     80957,Highway
     11777,     80958,Highway
     11778,     80959,Highway
     11779,     80960,Highway
     11780,     80961,Highway
     11781,     80962,Highway
     11782,     80963,Highway
     11783,     80964,Highway
     11784,     80965,Highway
     11785,     80966,Highway
     11786,     80967,Highway
     11787,     80968,Highway
     11788,     80969,Highway
     11789,     80970,Highway
     11790,     80971,Highway
     11791,     80972,Highway
     11792,     80973,Highway
     11793,     80974,Highway
     11794,     80975,Highway
     11795,     80976,Highway
     11796,     80977,Highway
     11797,     80978,Highway
     11798,     80979,Highway
